,Fechas,Links
111,"noviembre 29, 2022",https://lopezobrador.org.mx/2022/11/29/version-estenografica-plan-nacional-de-salud-imss-bienestar-desde-acapulco-guerrero/
112,"noviembre 29, 2022",https://lopezobrador.org.mx/2022/11/29/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-862/
113,"noviembre 28, 2022",https://lopezobrador.org.mx/2022/11/28/version-estenografica-premio-nacional-de-deportes-2022-desde-palacio-nacional/
114,"noviembre 28, 2022",https://lopezobrador.org.mx/2022/11/28/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-861/
115,"noviembre 27, 2022",https://lopezobrador.org.mx/2022/11/27/discurso-del-presidente-andres-manuel-lopez-obrador-en-la-celebracion-por-4-anos-de-transformacion/
116,"noviembre 25, 2022",https://lopezobrador.org.mx/2022/11/25/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-860/
117,"noviembre 24, 2022",https://lopezobrador.org.mx/2022/11/24/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-859/
118,"noviembre 23, 2022",https://lopezobrador.org.mx/2022/11/23/version-estenografica-dia-de-la-armada-de-mexico-desde-manzanillo-colima/
119,"noviembre 23, 2022",https://lopezobrador.org.mx/2022/11/23/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-colima-4/
120,"noviembre 22, 2022",https://lopezobrador.org.mx/2022/11/22/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-858/
121,"noviembre 21, 2022",https://lopezobrador.org.mx/2022/11/21/discurso-del-presidente-andres-manuel-lopez-obrador-en-el-centenario-luctuoso-de-ricardo-flores-magon/
122,"noviembre 21, 2022",https://lopezobrador.org.mx/2022/11/21/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-857/
123,"noviembre 20, 2022",https://lopezobrador.org.mx/2022/11/20/discurso-del-presidente-andres-manuel-lopez-obrador-en-el-112-aniversario-de-la-revolucion-mexicana/
124,"noviembre 19, 2022",https://lopezobrador.org.mx/2022/11/19/version-estenografica-inauguracion-de-la-comunidad-mexicana-de-hemodialisis-desde-toluca-estado-de-mexico/
125,"noviembre 19, 2022",https://lopezobrador.org.mx/2022/11/19/version-estenografica-inauguracion-de-universidad-para-el-bienestar-desde-villa-de-allende-estado-de-mexico/
126,"noviembre 19, 2022",https://lopezobrador.org.mx/2022/11/19/version-estenografica-inauguracion-de-la-universidad-para-el-bienestar-benito-juarez-garcia-desde-aporo-michoacan/
127,"noviembre 18, 2022",https://lopezobrador.org.mx/2022/11/18/version-estenografica-inauguracion-de-la-universidad-para-el-bienestar-benito-juarez-garcia-desde-chilchota-michoacan/
128,"noviembre 18, 2022",https://lopezobrador.org.mx/2022/11/18/version-estenografica-inauguracion-de-la-universidad-para-el-bienestar-benito-juarez-garcia-desde-pajacuaran-michoacan/
129,"noviembre 18, 2022",https://lopezobrador.org.mx/2022/11/18/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-856/
130,"noviembre 17, 2022",https://lopezobrador.org.mx/2022/11/17/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-855/
131,"noviembre 16, 2022",https://lopezobrador.org.mx/2022/11/16/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-854/
132,"noviembre 15, 2022",https://lopezobrador.org.mx/2022/11/15/version-estenografica-113-asamblea-general-ordinaria-del-imss-desde-palacio-nacional/
133,"noviembre 15, 2022",https://lopezobrador.org.mx/2022/11/15/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-853/
134,"noviembre 14, 2022",https://lopezobrador.org.mx/2022/11/14/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-852/
135,"noviembre 11, 2022",https://lopezobrador.org.mx/2022/11/11/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-yucatan-2/
136,"noviembre 10, 2022",https://lopezobrador.org.mx/2022/11/10/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-851/
137,"noviembre 9, 2022",https://lopezobrador.org.mx/2022/11/09/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-850/
138,"noviembre 8, 2022",https://lopezobrador.org.mx/2022/11/08/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-849/
139,"noviembre 7, 2022",https://lopezobrador.org.mx/2022/11/07/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-848/
140,"noviembre 4, 2022",https://lopezobrador.org.mx/2022/11/04/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-847/
141,"noviembre 3, 2022",https://lopezobrador.org.mx/2022/11/03/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-846/
142,"noviembre 1, 2022",https://lopezobrador.org.mx/2022/11/01/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-845/
143,"octubre 31, 2022",https://lopezobrador.org.mx/2022/10/31/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-844/
144,"octubre 30, 2022",https://lopezobrador.org.mx/2022/10/30/version-estenografica-plan-de-salud-imss-bienestar-sinaloa/
145,"octubre 29, 2022",https://lopezobrador.org.mx/2022/10/29/version-estenografica-plan-de-salud-imss-bienestar-sonora/
146,"octubre 29, 2022",https://lopezobrador.org.mx/2022/10/29/version-estenografica-firma-de-decreto-para-restitucion-de-tierras-al-pueblo-yaqui-desde-guaymas-sonora/
147,"octubre 28, 2022",https://lopezobrador.org.mx/2022/10/28/version-estenografica-plan-de-salud-imss-bienestar-baja-california-sur/
